sid,FS_headline_cert,FS_headline_lcb,FS_matched_cert,FS_matched_lcb,BOX250_cert,BOX250_lcb,BOX250_ucb,BOX250_width,BOX500_cert,BOX500_lcb,BOX500_ucb,BOX500_width,BOX1000_cert,BOX1000_lcb,BOX1000_ucb,BOX1000_width,BOX2000_cert,BOX2000_lcb,BOX2000_ucb,BOX2000_width
officehome_convnext_frozen__split08__seed2,0,0.0,0,0.0,1,0.10407822357677336,0.18774010497886218,0.1549592398885481,1,0.10877740584114982,0.1823381426481867,0.10906011833838118,1,0.11144955831948478,0.1793215825116754,0.07689178476577083,1,0.11486007242244886,0.17593350612066827,0.05417938066260013
officehome_convnext_frozen__split08__seed3,0,0.0,0,0.0,0,0.0,nan,0.1547358282978554,0,0.0,nan,0.10878654850084135,0,0.0,nan,0.07658926564726164,0,0.0,nan,0.0541281377666801
officehome_convnext_frozen__split08__seed4,1,0.025898605330860698,1,0.02554473412746612,1,0.16970511171908217,0.1965252214472275,0.15527089060971633,1,0.17956396344149125,0.19356984811319605,0.10848467328748577,1,0.17998950492942675,0.19282466275566856,0.07676528169926004,1,0.18539529299340207,0.19111208797700197,0.0539304280022401
officehome_convnext_frozen__split09__seed0,1,0.10462456687332719,1,0.10392833486011391,1,0.21283556935525288,0.18334965220144256,0.15491198670132375,1,0.23687141276969836,0.17966400541945776,0.10849850039530025,1,0.23805019803737104,0.178236363434509,0.0766974447570905,1,0.24075733224096324,0.17754111234480233,0.05399794554981455
officehome_convnext_frozen__split09__seed1,1,0.1428390701353738,0,0.0,1,0.21993235992473167,0.1926672430273761,0.15326262477908853,1,0.22968949803914598,0.1890077246563262,0.10880202137932476,1,0.23166108898580762,0.187831467231872,0.07687205421510185,1,0.23573347009924797,0.18764819006898786,0.05395580355770997
officehome_convnext_frozen__split09__seed2,1,0.15389040374827598,1,0.15306192105835997,1,0.24633422519228623,0.19698522200154278,0.149916640747021,1,0.23095470399112988,0.19496069590054232,0.10957716268762499,1,0.24792205789166116,0.19444175209963283,0.07652999706664722,1,0.25324229857408737,0.19390483647464596,0.05389317670446883
officehome_convnext_frozen__split09__seed3,0,0.0,0,0.0,1,0.18196225077664513,0.17573950593990303,0.15473577117534199,1,0.2287004343573447,0.19963196349344728,0.10929821718472105,1,0.2437791306806346,0.19698359099106696,0.07643464850173874,1,0.24685011179497612,0.1955356318662251,0.05389066377054065
officehome_convnext_frozen__split09__seed4,0,0.0,0,0.0,1,0.16486009116216896,0.17903858021908,0.1539968027484063,1,0.17059136702500738,0.17478662244891716,0.10902859032770804,1,0.1750614827432263,0.1705111672733196,0.07702411293164035,1,0.1801887749227658,0.16732815038065074,0.054183683298925284
officehome_convnext_full__split00__seed0,1,0.1430744369425822,1,0.14196031082434682,1,0.22095570807989307,0.19099312156710582,0.1548176612721361,1,0.2329813073133283,0.19113784598284095,0.10798904940002106,1,0.23271578889263175,0.1898039461833121,0.07677014091867959,1,0.23937354523453352,0.18781229697035906,0.05380655616942879
officehome_convnext_full__split00__seed1,1,0.20417137204846872,1,0.20322746917830556,1,0.25335847479227724,0.18315031652381053,0.15385722343860686,1,0.2573877957505776,0.1815148895941136,0.10862943885346413,1,0.2613033746771851,0.18008637073600048,0.0763671127765204,1,0.2620786462503821,0.17869835885153657,0.05391335948475491
