semantic_id,dataset,best_auroc,best_fpr95,H_certified,H_ecc
cifar100_proser_fedavg__split08__seed0__d0.1,cifar100,0.63796,0.922078,0,0.0
cifar100_proser_fedavg__split08__seed0__d0.5,cifar100,0.664789,0.897403,0,0.0
cifar100_proser_fedavg__split08__seed0__d5.0,cifar100,0.648005,0.916883,0,0.0
cifar100_proser_fedavg__split08__seed1__d0.1,cifar100,0.630882,0.9,0,0.0
cifar100_proser_fedavg__split08__seed1__d0.5,cifar100,0.675564,0.883117,0,0.0
cifar100_proser_fedavg__split08__seed1__d5.0,cifar100,0.670204,0.9,0,0.0
cifar100_proser_fedavg__split08__seed2__d0.1,cifar100,0.654987,0.896104,0,0.0
cifar100_proser_fedavg__split08__seed2__d0.5,cifar100,0.655595,0.898701,0,0.0
cifar100_proser_fedavg__split08__seed2__d5.0,cifar100,0.674749,0.883117,0,0.0
cifar100_proser_fedavg__split08__seed3__d0.1,cifar100,0.651,0.884416,0,0.0
cifar100_proser_fedavg__split08__seed3__d0.5,cifar100,0.653785,0.890909,0,0.0
cifar100_proser_fedavg__split08__seed3__d5.0,cifar100,0.660367,0.890909,0,0.0
cifar100_proser_fedavg__split08__seed4__d0.1,cifar100,0.628763,0.888312,0,0.0
cifar100_proser_fedavg__split08__seed4__d0.5,cifar100,0.661394,0.881818,0,0.0
cifar100_proser_fedavg__split08__seed4__d5.0,cifar100,0.661788,0.863636,0,0.0
cifar100_proser_fedavg__split09__seed0__d0.1,cifar100,0.654056,0.903896,0,0.0
cifar100_proser_fedavg__split09__seed0__d0.5,cifar100,0.683693,0.887013,0,0.0
cifar100_proser_fedavg__split09__seed0__d5.0,cifar100,0.684997,0.877922,0,0.0
cifar100_proser_fedavg__split09__seed1__d0.1,cifar100,0.617509,0.912987,0,0.0
cifar100_proser_fedavg__split09__seed1__d0.5,cifar100,0.658272,0.896104,0,0.0
cifar100_proser_fedavg__split09__seed1__d5.0,cifar100,0.692465,0.896104,0,0.0
cifar100_proser_fedavg__split09__seed2__d0.1,cifar100,0.652337,0.884416,0,0.0
cifar100_proser_fedavg__split09__seed2__d0.5,cifar100,0.67818,0.871429,0,0.0
cifar100_proser_fedavg__split09__seed2__d5.0,cifar100,0.693357,0.888312,0,0.0
cifar100_proser_fedavg__split09__seed3__d0.1,cifar100,0.659556,0.902597,0,0.0
cifar100_proser_fedavg__split09__seed3__d0.5,cifar100,0.691554,0.894805,0,0.0
cifar100_proser_fedavg__split09__seed3__d5.0,cifar100,0.692873,0.914286,0,0.0
cifar100_proser_fedavg__split09__seed4__d0.1,cifar100,0.665967,0.890909,0,0.0
cifar100_proser_fedavg__split09__seed4__d0.5,cifar100,0.696009,0.884416,0,0.0
cifar100_proser_fedavg__split09__seed4__d5.0,cifar100,0.70449,0.872727,0,0.0
cifar10_proser_fedavg__split00__seed0__d0.1,cifar10,0.602354,0.945455,0,0.0
cifar10_proser_fedavg__split00__seed0__d0.5,cifar10,0.596773,0.941558,0,0.0
cifar10_proser_fedavg__split00__seed0__d5.0,cifar10,0.717952,0.841558,0,0.0
cifar10_proser_fedavg__split00__seed1__d0.1,cifar10,0.724366,0.831169,0,0.0
cifar10_proser_fedavg__split00__seed1__d0.5,cifar10,0.768706,0.819481,1,0.2529938396411718
cifar10_proser_fedavg__split00__seed1__d5.0,cifar10,0.763699,0.793506,1,0.258493008565482
cifar10_proser_fedavg__split00__seed2__d0.1,cifar10,0.71417,0.868831,0,0.0
cifar10_proser_fedavg__split00__seed2__d0.5,cifar10,0.754296,0.837662,1,0.2824355370849912
cifar10_proser_fedavg__split00__seed2__d5.0,cifar10,0.742693,0.842857,1,0.21479193734703372
cifar10_proser_fedavg__split00__seed3__d0.1,cifar10,0.613792,0.946753,0,0.0
cifar10_proser_fedavg__split00__seed3__d0.5,cifar10,0.727676,0.849351,0,0.0
cifar10_proser_fedavg__split00__seed3__d5.0,cifar10,0.684961,0.871429,0,0.0
cifar10_proser_fedavg__split00__seed4__d0.1,cifar10,0.721634,0.855844,0,0.0
cifar10_proser_fedavg__split00__seed4__d0.5,cifar10,0.672889,0.875325,0,0.0
cifar10_proser_fedavg__split00__seed4__d5.0,cifar10,0.682402,0.872727,0,0.0
cifar10_proser_fedavg__split01__seed0__d0.1,cifar10,0.72872,0.8,0,0.0
cifar10_proser_fedavg__split01__seed0__d0.5,cifar10,0.750077,0.703896,0,0.0
cifar10_proser_fedavg__split01__seed0__d5.0,cifar10,0.816738,0.738961,1,0.33646534015006613
cifar10_proser_fedavg__split01__seed1__d0.1,cifar10,0.767847,0.818182,1,0.1682881481006248
cifar10_proser_fedavg__split01__seed1__d0.5,cifar10,0.83091,0.733766,1,0.40845529463456637
cifar10_proser_fedavg__split01__seed1__d5.0,cifar10,0.83011,0.703896,1,0.31774156327905306
cifar10_proser_fedavg__split01__seed2__d0.1,cifar10,0.750364,0.828571,0,0.0
cifar10_proser_fedavg__split01__seed2__d0.5,cifar10,0.822638,0.741558,1,0.39319183232033605
cifar10_proser_fedavg__split01__seed2__d5.0,cifar10,0.836875,0.737662,1,0.3140083105619187
cifar10_proser_fedavg__split01__seed3__d0.1,cifar10,0.741468,0.733766,0,0.0
cifar10_proser_fedavg__split01__seed3__d0.5,cifar10,0.799833,0.706494,1,0.1541841332424807
cifar10_proser_fedavg__split01__seed3__d5.0,cifar10,0.814792,0.727273,1,0.3970023941057943
cifar10_proser_fedavg__split01__seed4__d0.1,cifar10,0.647175,0.890909,1,0.0889210237552595
cifar10_proser_fedavg__split01__seed4__d0.5,cifar10,0.755646,0.78961,1,0.1541841332424807
cifar10_proser_fedavg__split01__seed4__d5.0,cifar10,0.833478,0.776623,1,0.46425615733449827
cifar10_proser_fedavg__split02__seed0__d0.1,cifar10,0.614931,0.938961,0,0.0
cifar10_proser_fedavg__split02__seed0__d0.5,cifar10,0.660712,0.868831,0,0.0
cifar10_proser_fedavg__split02__seed0__d5.0,cifar10,0.729215,0.792208,0,0.0
cifar10_proser_fedavg__split02__seed1__d0.1,cifar10,0.756944,0.828571,0,0.0
cifar10_proser_fedavg__split02__seed1__d0.5,cifar10,0.721391,0.862338,0,0.0
cifar10_proser_fedavg__split02__seed1__d5.0,cifar10,0.748898,0.784416,0,0.0
cifar10_proser_fedavg__split02__seed2__d0.1,cifar10,0.706568,0.857143,0,0.0
cifar10_proser_fedavg__split02__seed2__d0.5,cifar10,0.765597,0.814286,1,0.2676802640594055
cifar10_proser_fedavg__split02__seed2__d5.0,cifar10,0.76421,0.818182,1,0.2603282771897686
cifar10_proser_fedavg__split02__seed3__d0.1,cifar10,0.624639,0.923377,0,0.0
cifar10_proser_fedavg__split02__seed3__d0.5,cifar10,0.703028,0.866234,1,0.0740174636052026
cifar10_proser_fedavg__split02__seed3__d5.0,cifar10,0.756222,0.805195,1,0.16651941981501164
cifar10_proser_fedavg__split02__seed4__d0.1,cifar10,0.65175,0.898701,0,0.0
cifar10_proser_fedavg__split02__seed4__d0.5,cifar10,0.621655,0.920779,0,0.0
cifar10_proser_fedavg__split02__seed4__d5.0,cifar10,0.763504,0.822078,1,0.2732055634255446
cifar10_proser_fedavg__split03__seed0__d0.1,cifar10,0.620734,0.914286,0,0.0
cifar10_proser_fedavg__split03__seed0__d0.5,cifar10,0.695042,0.885714,0,0.0
cifar10_proser_fedavg__split03__seed0__d5.0,cifar10,0.801001,0.738961,1,0.3515120946282726
cifar10_proser_fedavg__split03__seed1__d0.1,cifar10,0.688088,0.835065,0,0.0
cifar10_proser_fedavg__split03__seed1__d0.5,cifar10,0.778584,0.750649,1,0.2879860011542096
cifar10_proser_fedavg__split03__seed1__d5.0,cifar10,0.795669,0.755844,1,0.3158744522294004
cifar10_proser_fedavg__split03__seed2__d0.1,cifar10,0.721921,0.876623,0,0.0
cifar10_proser_fedavg__split03__seed2__d0.5,cifar10,0.79812,0.753247,1,0.3439812828054374
cifar10_proser_fedavg__split03__seed2__d5.0,cifar10,0.80576,0.709091,1,0.2329177531008276
cifar10_proser_fedavg__split03__seed3__d0.1,cifar10,0.667854,0.880519,0,0.0
cifar10_proser_fedavg__split03__seed3__d0.5,cifar10,0.753913,0.793506,1,0.17183034880148174
cifar10_proser_fedavg__split03__seed3__d5.0,cifar10,0.76125,0.825974,1,0.19500134841768263
cifar10_proser_fedavg__split03__seed4__d0.1,cifar10,0.671837,0.872727,0,0.0
cifar10_proser_fedavg__split03__seed4__d0.5,cifar10,0.734519,0.894805,1,0.2329177531008276
cifar10_proser_fedavg__split03__seed4__d5.0,cifar10,0.807361,0.750649,1,0.31774156327905306
cifar10_proser_fedavg__split04__seed0__d0.1,cifar10,0.646518,0.893506,0,0.0
cifar10_proser_fedavg__split04__seed0__d0.5,cifar10,0.785903,0.690909,0,0.0
cifar10_proser_fedavg__split04__seed0__d5.0,cifar10,0.816232,0.68961,1,0.28058745036124527
cifar10_proser_fedavg__split04__seed1__d0.1,cifar10,0.734883,0.772727,0,0.0
cifar10_proser_fedavg__split04__seed1__d0.5,cifar10,0.731045,0.785714,1,0.06586382397031201
cifar10_proser_fedavg__split04__seed1__d5.0,cifar10,0.771899,0.738961,1,0.29725720013377666
cifar10_proser_fedavg__split04__seed2__d0.1,cifar10,0.662528,0.877922,0,0.0
cifar10_proser_fedavg__split04__seed2__d0.5,cifar10,0.796496,0.735065,0,0.0
cifar10_proser_fedavg__split04__seed2__d5.0,cifar10,0.804276,0.74026,1,0.2824355370849912
cifar10_proser_fedavg__split04__seed3__d0.1,cifar10,0.613087,0.920779,0,0.0
cifar10_proser_fedavg__split04__seed3__d0.5,cifar10,0.774333,0.753247,0,0.0
cifar10_proser_fedavg__split04__seed3__d5.0,cifar10,0.799593,0.75974,1,0.2898382094236966
cifar10_proser_fedavg__split04__seed4__d0.1,cifar10,0.580916,0.887013,0,0.0
cifar10_proser_fedavg__split04__seed4__d0.5,cifar10,0.737898,0.764935,1,0.0956268508766563
cifar10_proser_fedavg__split04__seed4__d5.0,cifar10,0.789002,0.776623,1,0.2274671239383013
cifar10_proser_fedavg__split05__seed0__d0.1,cifar10,0.53926,0.938961,0,0.0
cifar10_proser_fedavg__split05__seed0__d0.5,cifar10,0.644938,0.909091,0,0.0
cifar10_proser_fedavg__split05__seed0__d5.0,cifar10,0.828224,0.748052,1,0.39890900318559075
cifar10_proser_fedavg__split05__seed1__d0.1,cifar10,0.747962,0.792208,0,0.0
