semantic_id,dataset,d,audit_n_per_client,n_cells,n_cell_replicates,certified_count,certification_rate,effective_certified_acceptance,conditional_certified_acceptance
cifar100_proser_fedavg__split01__seed0__d5.0,cifar100,5.0,128,1.0,200.0,0.0,0.0,0.0,
cifar100_proser_fedavg__split01__seed0__d5.0,cifar100,5.0,256,1.0,200.0,0.0,0.0,0.0,
cifar100_proser_fedavg__split01__seed0__d5.0,cifar100,5.0,514,1.0,200.0,34.0,0.17,0.01738477869810041,0.102263404106473
cifar100_proser_fedavg__split01__seed0__d5.0,cifar100,5.0,1028,1.0,200.0,174.0,0.87,0.11978071430537823,0.13767898196020487
cifar100_proser_fedavg__split01__seed1__d0.1,cifar100,0.1,128,1.0,200.0,0.0,0.0,0.0,
cifar100_proser_fedavg__split01__seed1__d0.1,cifar100,0.1,256,1.0,200.0,0.0,0.0,0.0,
cifar100_proser_fedavg__split01__seed1__d0.1,cifar100,0.1,514,1.0,200.0,0.0,0.0,0.0,
cifar100_proser_fedavg__split01__seed1__d0.1,cifar100,0.1,1028,1.0,200.0,62.0,0.31,0.01326787883851499,0.04279960915649997
cifar100_proser_fedavg__split01__seed1__d0.5,cifar100,0.5,128,1.0,200.0,0.0,0.0,0.0,
cifar100_proser_fedavg__split01__seed1__d0.5,cifar100,0.5,256,1.0,200.0,0.0,0.0,0.0,
cifar100_proser_fedavg__split01__seed1__d0.5,cifar100,0.5,514,1.0,200.0,48.0,0.24,0.02404182970697806,0.10017429044574189
cifar100_proser_fedavg__split01__seed1__d0.5,cifar100,0.5,1028,1.0,200.0,189.0,0.945,0.10983920355254587,0.11623196143126546
cifar100_proser_fedavg__split01__seed1__d5.0,cifar100,5.0,128,1.0,200.0,0.0,0.0,0.0,
cifar100_proser_fedavg__split01__seed1__d5.0,cifar100,5.0,256,1.0,200.0,0.0,0.0,0.0,
cifar100_proser_fedavg__split01__seed1__d5.0,cifar100,5.0,514,1.0,200.0,24.0,0.12,0.013286218768637168,0.11071848973864307
cifar100_proser_fedavg__split01__seed1__d5.0,cifar100,5.0,1028,1.0,200.0,177.0,0.885,0.13958080266707157,0.15771842109273623
cifar100_proser_fedavg__split01__seed2__d0.1,cifar100,0.1,128,1.0,200.0,0.0,0.0,0.0,
cifar100_proser_fedavg__split01__seed2__d0.1,cifar100,0.1,256,1.0,200.0,0.0,0.0,0.0,
cifar100_proser_fedavg__split01__seed2__d0.1,cifar100,0.1,514,1.0,200.0,0.0,0.0,0.0,
cifar100_proser_fedavg__split01__seed2__d0.1,cifar100,0.1,1028,1.0,200.0,21.0,0.105,0.0039042047827770616,0.03718290269311487
cifar100_proser_fedavg__split01__seed2__d0.5,cifar100,0.5,128,1.0,200.0,0.0,0.0,0.0,
cifar100_proser_fedavg__split01__seed2__d0.5,cifar100,0.5,256,1.0,200.0,0.0,0.0,0.0,
cifar100_proser_fedavg__split01__seed2__d0.5,cifar100,0.5,514,1.0,200.0,7.0,0.035,0.002458251758010989,0.07023576451459969
cifar100_proser_fedavg__split01__seed2__d0.5,cifar100,0.5,1028,1.0,200.0,123.0,0.615,0.05397858757974322,0.08777006110527352
cifar100_proser_fedavg__split01__seed2__d5.0,cifar100,5.0,128,1.0,200.0,0.0,0.0,0.0,
cifar100_proser_fedavg__split01__seed2__d5.0,cifar100,5.0,256,1.0,200.0,0.0,0.0,0.0,
cifar100_proser_fedavg__split01__seed2__d5.0,cifar100,5.0,514,1.0,200.0,25.0,0.125,0.0092123769379159,0.07369901550332722
cifar100_proser_fedavg__split01__seed2__d5.0,cifar100,5.0,1028,1.0,200.0,172.0,0.86,0.08416852758497623,0.09787038091276305
cifar100_proser_fedavg__split01__seed3__d0.1,cifar100,0.1,128,1.0,200.0,0.0,0.0,0.0,
cifar100_proser_fedavg__split01__seed3__d0.1,cifar100,0.1,256,1.0,200.0,0.0,0.0,0.0,
