semantic_id,dataset,condition,alpha,J,traffic_counts,simplex_certified,simplex_risk_bound,simplex_coverage_lcb,bounded_certified,bounded_risk_bound,bounded_coverage_lcb,gain
cifar100_proser_fedavg__split01__seed2__d5.0,cifar100,d5,0.05,5,208|202|208|173|209,0,,0.0,0,,0.0,0
cifar100_proser_fedavg__split01__seed2__d5.0,cifar100,d5,0.1,5,208|202|208|173|209,0,,0.0,0,,0.0,0
cifar100_proser_fedavg__split01__seed2__d5.0,cifar100,d5,0.15,5,208|202|208|173|209,0,,0.0,0,,0.0,0
cifar100_proser_fedavg__split01__seed2__d5.0,cifar100,d5,0.2,5,208|202|208|173|209,0,,0.0,0,,0.0,0
cifar100_proser_fedavg__split01__seed2__d5.0,cifar100,d5,0.25,5,208|202|208|173|209,1,0.23412356184406316,0.0956268508766563,1,0.24609196860375632,0.24009237629013683,0
cifar100_proser_fedavg__split01__seed2__d5.0,cifar100,d5,0.3,5,208|202|208|173|209,1,0.27356892912935865,0.20038274402350836,1,0.29574809418230646,0.2891126411424001,0
cifar100_proser_fedavg__split01__seed3__d0.1,cifar100,d0.1,0.05,5,182|213|200|211|194,0,,0.0,0,,0.0,0
cifar100_proser_fedavg__split01__seed3__d0.1,cifar100,d0.1,0.1,5,182|213|200|211|194,0,,0.0,0,,0.0,0
cifar100_proser_fedavg__split01__seed3__d0.1,cifar100,d0.1,0.15,5,182|213|200|211|194,0,,0.0,0,,0.0,0
cifar100_proser_fedavg__split01__seed3__d0.1,cifar100,d0.1,0.2,5,182|213|200|211|194,0,,0.0,0,,0.0,0
cifar100_proser_fedavg__split01__seed3__d0.1,cifar100,d0.1,0.25,5,182|213|200|211|194,0,,0.0,0,,0.0,0
cifar100_proser_fedavg__split01__seed3__d0.1,cifar100,d0.1,0.3,5,182|213|200|211|194,0,,0.0,0,,0.0,0
cifar100_proser_fedavg__split01__seed3__d0.5,cifar100,d0.5,0.05,5,188|214|207|190|201,0,,0.0,0,,0.0,0
cifar100_proser_fedavg__split01__seed3__d0.5,cifar100,d0.5,0.1,5,188|214|207|190|201,0,,0.0,0,,0.0,0
cifar100_proser_fedavg__split01__seed3__d0.5,cifar100,d0.5,0.15,5,188|214|207|190|201,0,,0.0,0,,0.0,0
cifar100_proser_fedavg__split01__seed3__d0.5,cifar100,d0.5,0.2,5,188|214|207|190|201,0,,0.0,1,0.19449579164414624,0.132168216213925,1
cifar100_proser_fedavg__split01__seed3__d0.5,cifar100,d0.5,0.25,5,188|214|207|190|201,1,0.24602567819674584,0.07237895294510194,1,0.23752450159742386,0.16040492376571489,0
cifar100_proser_fedavg__split01__seed3__d0.5,cifar100,d0.5,0.3,5,188|214|207|190|201,1,0.29204586258339726,0.13844981359374123,1,0.2967813838026394,0.2356849323305613,0
cifar100_proser_fedavg__split01__seed3__d5.0,cifar100,d5,0.05,5,198|196|222|177|207,0,,0.0,0,,0.0,0
cifar100_proser_fedavg__split01__seed3__d5.0,cifar100,d5,0.1,5,198|196|222|177|207,0,,0.0,0,,0.0,0
cifar100_proser_fedavg__split01__seed3__d5.0,cifar100,d5,0.15,5,198|196|222|177|207,0,,0.0,0,,0.0,0
cifar100_proser_fedavg__split01__seed3__d5.0,cifar100,d5,0.2,5,198|196|222|177|207,0,,0.0,1,0.18578120460161457,0.08731674191065802,1
cifar100_proser_fedavg__split01__seed3__d5.0,cifar100,d5,0.25,5,198|196|222|177|207,1,0.19776430412017384,0.083923384581486,1,0.24234350566743534,0.17613133828491273,0
cifar100_proser_fedavg__split01__seed3__d5.0,cifar100,d5,0.3,5,198|196|222|177|207,1,0.26671044680340666,0.1736037904425844,1,0.26021769304078823,0.20352364609582377,0
cifar100_proser_fedavg__split01__seed4__d0.1,cifar100,d0.1,0.05,5,215|202|200|182|201,0,,0.0,0,,0.0,0
cifar100_proser_fedavg__split01__seed4__d0.1,cifar100,d0.1,0.1,5,215|202|200|182|201,0,,0.0,0,,0.0,0
cifar100_proser_fedavg__split01__seed4__d0.1,cifar100,d0.1,0.15,5,215|202|200|182|201,0,,0.0,0,,0.0,0
cifar100_proser_fedavg__split01__seed4__d0.1,cifar100,d0.1,0.2,5,215|202|200|182|201,0,,0.0,0,,0.0,0
cifar100_proser_fedavg__split01__seed4__d0.1,cifar100,d0.1,0.25,5,215|202|200|182|201,0,,0.0,0,,0.0,0
cifar100_proser_fedavg__split01__seed4__d0.1,cifar100,d0.1,0.3,5,215|202|200|182|201,0,,0.0,0,,0.0,0
cifar100_proser_fedavg__split01__seed4__d0.5,cifar100,d0.5,0.05,5,209|212|188|197|194,0,,0.0,0,,0.0,0
cifar100_proser_fedavg__split01__seed4__d0.5,cifar100,d0.5,0.1,5,209|212|188|197|194,0,,0.0,0,,0.0,0
cifar100_proser_fedavg__split01__seed4__d0.5,cifar100,d0.5,0.15,5,209|212|188|197|194,0,,0.0,0,,0.0,0
cifar100_proser_fedavg__split01__seed4__d0.5,cifar100,d0.5,0.2,5,209|212|188|197|194,0,,0.0,1,0.19405058244373335,0.09321622777667707,1
cifar100_proser_fedavg__split01__seed4__d0.5,cifar100,d0.5,0.25,5,209|212|188|197|194,1,0.23820998164217452,0.10068596701936973,1,0.249774471752257,0.16836552645781253,0
cifar100_proser_fedavg__split01__seed4__d0.5,cifar100,d0.5,0.3,5,209|212|188|197|194,1,0.2984350083588447,0.20038274402350836,1,0.27864920446559394,0.21008431881986042,0
cifar100_proser_fedavg__split01__seed4__d5.0,cifar100,d5,0.05,5,199|191|191|210|209,0,,0.0,0,,0.0,0
cifar100_proser_fedavg__split01__seed4__d5.0,cifar100,d5,0.1,5,199|191|191|210|209,0,,0.0,0,,0.0,0
cifar100_proser_fedavg__split01__seed4__d5.0,cifar100,d5,0.15,5,199|191|191|210|209,0,,0.0,0,,0.0,0
cifar100_proser_fedavg__split01__seed4__d5.0,cifar100,d5,0.2,5,199|191|191|210|209,0,,0.0,1,0.1769137042609068,0.11133774609363584,1
cifar100_proser_fedavg__split01__seed4__d5.0,cifar100,d5,0.25,5,199|191|191|210|209,1,0.22919447697492876,0.13671084543802253,1,0.19853442771940133,0.14905689128356556,0
cifar100_proser_fedavg__split01__seed4__d5.0,cifar100,d5,0.3,5,199|191|191|210|209,1,0.2988625090876875,0.23473702606631897,1,0.2843368673055832,0.24599208497242023,0
cifar100_proser_fedavg__split02__seed0__d0.1,cifar100,d0.1,0.05,5,227|183|188|195|207,0,,0.0,0,,0.0,0
cifar100_proser_fedavg__split02__seed0__d0.1,cifar100,d0.1,0.1,5,227|183|188|195|207,0,,0.0,0,,0.0,0
cifar100_proser_fedavg__split02__seed0__d0.1,cifar100,d0.1,0.15,5,227|183|188|195|207,0,,0.0,0,,0.0,0
cifar100_proser_fedavg__split02__seed0__d0.1,cifar100,d0.1,0.2,5,227|183|188|195|207,0,,0.0,0,,0.0,0
cifar100_proser_fedavg__split02__seed0__d0.1,cifar100,d0.1,0.25,5,227|183|188|195|207,0,,0.0,0,,0.0,0
cifar100_proser_fedavg__split02__seed0__d0.1,cifar100,d0.1,0.3,5,227|183|188|195|207,1,0.29413225373927565,0.040567222317772225,1,0.28082741998424066,0.09513451496099054,0
cifar100_proser_fedavg__split02__seed0__d0.5,cifar100,d0.5,0.05,5,227|180|210|189|194,0,,0.0,0,,0.0,0
cifar100_proser_fedavg__split02__seed0__d0.5,cifar100,d0.5,0.1,5,227|180|210|189|194,0,,0.0,0,,0.0,0
