semantic_id,dataset,condition,d,arm,alpha,J,M,delta_r,delta_c,legacy_eps_c,theorem_eps_c,holm_min_iut_pvalue,holm_n_risk_rejected,legacy_n_certified_candidates,theorem_n_certified_candidates,coverage_allocation_change,legacy_certified,legacy_selected_index,legacy_selected_score,legacy_selected_gamma,legacy_coverage_lcb,legacy_selected_iut_pvalue,theorem_certified,theorem_selected_index,theorem_selected_score,theorem_selected_gamma,theorem_coverage_lcb,theorem_selected_iut_pvalue,archive_convention_holm_reported_pvalue,selection_changed,certification_transition,archive_available,archive_holm_match,archive_simultaneous_match,archive_match_all
cifar100_proser_fedavg__split00__seed2__d0.5,cifar100,d0.5,0.5,proser_fedavg,0.3,5,12,0.05,0.05,0.0008333333333333334,0.004166666666666667,0.034410163334432885,0,0,0,delta_c/(M J) -> delta_c/M,0,,,,0.0,,0,,,,0.0,,0.034410163334432885,0,0->0,1,1.0,1.0,1.0
cifar100_proser_fedavg__split00__seed2__d5.0,cifar100,d5,5.0,proser_fedavg,0.05,5,12,0.05,0.05,0.0008333333333333334,0.004166666666666667,0.6983372960937501,0,0,0,delta_c/(M J) -> delta_c/M,0,,,,0.0,,0,,,,0.0,,0.6983372960937501,0,0->0,1,1.0,1.0,1.0
cifar100_proser_fedavg__split00__seed2__d5.0,cifar100,d5,5.0,proser_fedavg,0.1,5,12,0.05,0.05,0.0008333333333333334,0.004166666666666667,0.4782968999999999,0,0,0,delta_c/(M J) -> delta_c/M,0,,,,0.0,,0,,,,0.0,,0.4782968999999999,0,0->0,1,1.0,1.0,1.0
cifar100_proser_fedavg__split00__seed2__d5.0,cifar100,d5,5.0,proser_fedavg,0.15,5,12,0.05,0.05,0.0008333333333333334,0.004166666666666667,0.3079590092906231,0,0,0,delta_c/(M J) -> delta_c/M,0,,,,0.0,,0,,,,0.0,,0.3079590092906231,0,0->0,1,1.0,1.0,1.0
cifar100_proser_fedavg__split00__seed2__d5.0,cifar100,d5,5.0,proser_fedavg,0.2,5,12,0.05,0.05,0.0008333333333333334,0.004166666666666667,0.20608471894847413,0,0,0,delta_c/(M J) -> delta_c/M,0,,,,0.0,,0,,,,0.0,,0.20608471894847413,0,0->0,1,1.0,1.0,1.0
cifar100_proser_fedavg__split00__seed2__d5.0,cifar100,d5,5.0,proser_fedavg,0.25,5,12,0.05,0.05,0.0008333333333333334,0.004166666666666667,0.04327398257201562,0,0,0,delta_c/(M J) -> delta_c/M,0,,,,0.0,,0,,,,0.0,,0.04327398257201562,0,0->0,1,1.0,1.0,1.0
cifar100_proser_fedavg__split00__seed2__d5.0,cifar100,d5,5.0,proser_fedavg,0.3,5,12,0.05,0.05,0.0008333333333333334,0.004166666666666667,0.006743659344595928,0,0,0,delta_c/(M J) -> delta_c/M,0,,,,0.0,,0,,,,0.0,,0.006743659344595928,0,0->0,1,1.0,1.0,1.0
cifar100_proser_fedavg__split00__seed3__d0.1,cifar100,d0.1,0.1,proser_fedavg,0.05,5,12,0.05,0.05,0.0008333333333333334,0.004166666666666667,0.5883086108947706,0,0,0,delta_c/(M J) -> delta_c/M,0,,,,0.0,,0,,,,0.0,,0.5883086108947706,0,0->0,1,1.0,1.0,1.0
cifar100_proser_fedavg__split00__seed3__d0.1,cifar100,d0.1,0.1,proser_fedavg,0.1,5,12,0.05,0.05,0.0008333333333333334,0.004166666666666667,0.22876792454960992,0,0,0,delta_c/(M J) -> delta_c/M,0,,,,0.0,,0,,,,0.0,,0.22876792454960992,0,0->0,1,1.0,1.0,1.0
cifar100_proser_fedavg__split00__seed3__d0.1,cifar100,d0.1,0.1,proser_fedavg,0.15,5,12,0.05,0.05,0.0008333333333333334,0.004166666666666667,0.28390121207906793,0,0,0,delta_c/(M J) -> delta_c/M,0,,,,0.0,,0,,,,0.0,,0.28390121207906793,0,0->0,1,1.0,1.0,1.0
