semantic_id,dataset,condition,selected_candidate_index,selected_score,selected_slot,selected_gamma,selected_threshold,selected_selector_sha256,evaluation_n,evaluation_A,evaluation_K,evaluation_coverage,pooled_evaluation_risk,worst_client_evaluation_risk,clients_with_zero_acceptance,accepted_known,known_accepted_errors,unknown_total,unknown_false_acceptances,unknown_share_of_accepted_errors,A_by_client,K_by_client,n_by_client,pooled_risk_le_alpha,worst_client_risk_le_alpha,proposal_certification_id_overlap,proposal_evaluation_id_overlap,certification_evaluation_id_overlap
cifar10_proser_fedavg__split01__seed1__d0.5,cifar10,d0.5,2,proser,native,0.7,0.8240707127944283,108931863847535d9bbdeb6ad3e26a9e6c11e559da007522c1358daa1b28099a,2570,1396,200,0.5431906614785992,0.14326647564469913,0.14925373134328357,0,1244,48,770,152,0.76,"[297,290,267,268,274]","[42,43,37,40,38]","[514,514,514,514,514]",1,1,0,0,0
cifar10_proser_fedavg__split01__seed1__d5.0,cifar10,d5,4,energy,energy,0.3,6.2171910789898,e12b7002313e94f3a3bd0221a6c69386d2b2ac9fdff16fbce34a127d3ab992e7,2570,1132,76,0.4404669260700389,0.06713780918727916,0.08256880733944955,0,1074,18,770,58,0.7631578947368421,"[226,236,231,218,221]","[15,13,14,18,16]","[514,514,514,514,514]",1,1,0,0,0
cifar10_proser_fedavg__split01__seed2__d0.5,cifar10,d0.5,9,margin,margin,0.5,0.9995411271634309,3d281bd9497b179ca2a201d22a723a2df3d831cac0467896a47ed37af77b4546,2570,1197,109,0.46575875486381324,0.0910609857978279,0.1087866108786611,0,1109,21,770,88,0.8073394495412844,"[238,233,239,239,248]","[23,16,23,26,21]","[514,514,514,514,514]",1,1,0,0,0
cifar10_proser_fedavg__split01__seed2__d5.0,cifar10,d5,4,energy,energy,0.3,5.222527031914445,085fbefb20d139e045c4c0175758ade7f74287d45ce1574372129450c57d4c15,2570,1051,77,0.40894941634241244,0.07326355851569934,0.09345794392523364,0,993,19,770,58,0.7532467532467533,"[214,206,208,202,221]","[20,12,17,14,14]","[514,514,514,514,514]",1,1,0,0,0
cifar10_proser_fedavg__split01__seed3__d0.5,cifar10,d0.5,8,margin,margin,0.3,0.9999728021414384,3cd1cdffe4a7f7318b4b481d2abaea3511cfd55b308986b7f6392690e87c9a36,2570,601,34,0.233852140077821,0.056572379367720464,0.07017543859649122,0,577,10,770,24,0.7058823529411765,"[115,114,134,116,122]","[8,8,6,5,7]","[514,514,514,514,514]",1,1,0,0,0
cifar10_proser_fedavg__split01__seed3__d5.0,cifar10,d5,6,energy,energy,0.7,4.863598552435936,8d49639d51f8255d4d4ff069bb5cc4f70e02d18cd5de3e0e8cdb925631e10865,2570,1351,170,0.5256809338521401,0.12583271650629163,0.1450381679389313,0,1216,35,770,135,0.7941176470588235,"[274,262,275,272,268]","[37,38,33,33,29]","[514,514,514,514,514]",1,1,0,0,0
cifar10_proser_fedavg__split01__seed4__d0.1,cifar10,d0.1,8,margin,margin,0.3,0.9985294072923054,74b528ea65d7c5d3fde649291f8d1a439209117a13de125811a58620a2c6bbb6,2570,387,22,0.15058365758754863,0.056847545219638244,0.1,0,376,11,770,11,0.5,"[82,87,80,71,67]","[7,2,8,3,2]","[514,514,514,514,514]",1,1,0,0,0
cifar10_proser_fedavg__split01__seed4__d0.5,cifar10,d0.5,0,proser,native,0.3,0.9771815982949374,85a6ac31973a42e3d1938621e6360e519a0603704b6e80892e8b39d164ede3e9,2570,559,37,0.21750972762645915,0.06618962432915922,0.11926605504587157,0,526,4,770,33,0.8918918918918919,"[112,116,112,109,110]","[6,4,6,13,8]","[514,514,514,514,514]",1,1,0,0,0
cifar10_proser_fedavg__split01__seed4__d5.0,cifar10,d5,2,proser,native,0.7,0.8776688085351898,a008c53fffca8cffb475c6a1a04a12d406481903149e8e0214e2fbe7b6b55f29,2570,1314,181,0.511284046692607,0.13774733637747336,0.1511627906976744,0,1170,37,770,144,0.7955801104972375,"[278,258,253,264,261]","[38,39,31,36,37]","[514,514,514,514,514]",1,1,0,0,0
cifar10_proser_fedavg__split02__seed2__d0.5,cifar10,d0.5,5,energy,energy,0.5,6.200374137597738,94395709024bc68fcd4d1baf26efefbd967756fa86d061a44ed81532aa4f60b2,2570,889,73,0.3459143968871595,0.08211473565804274,0.09142857142857143,0,821,5,770,68,0.9315068493150684,"[174,173,175,195,172]","[14,13,16,15,15]","[514,514,514,514,514]",1,1,0,0,0
cifar10_proser_fedavg__split02__seed2__d5.0,cifar10,d5,9,margin,margin,0.5,0.9999996423721313,77ffe5d0d12b19f02c31b7130b89435632ef6c78cf3ebe88fde1bb4cb615a00f,2570,841,75,0.3272373540856031,0.089179548156956,0.11392405063291139,0,769,3,770,72,0.96,"[164,166,158,187,166]","[11,16,18,16,14]","[514,514,514,514,514]",1,1,0,0,0
cifar10_proser_fedavg__split02__seed3__d0.5,cifar10,d0.5,9,margin,margin,0.5,0.9999985098838806,5754aa1f70e1d1cb37178c00d8cf33bb93815b4161a0f0d1beb1c280bd7d1daf,2570,287,15,0.11167315175097277,0.05226480836236934,0.07142857142857142,0,272,0,770,15,1.0,"[56,60,44,59,68]","[4,3,3,2,3]","[514,514,514,514,514]",1,1,0,0,0
cifar10_proser_fedavg__split02__seed3__d5.0,cifar10,d5,1,proser,native,0.5,0.9931642173923377,01515e0e93c8e2e74d70f04d562646d8e06d791cf5b956d39a63c45f5f4d3efe,2570,604,52,0.23501945525291829,0.08609271523178808,0.10687022900763359,0,553,1,770,51,0.9807692307692307,"[118,109,118,128,131]","[9,9,9,11,14]","[514,514,514,514,514]",1,1,0,0,0
cifar10_proser_fedavg__split02__seed4__d5.0,cifar10,d5,5,energy,energy,0.5,7.203873643907017,5ff4c6177de0819b2b7e7e89a24704fa17e9d642445c5c8511482d041912e749,2570,813,70,0.31634241245136185,0.08610086100861009,0.10526315789473684,0,746,3,770,67,0.9571428571428572,"[147,171,171,160,164]","[9,16,18,11,16]","[514,514,514,514,514]",1,1,0,0,0
