semantic_id,dataset,condition,alpha,J,traffic_counts,simplex_certified,simplex_selected,simplex_risk_bound,simplex_coverage_lcb,bounded_certified,bounded_selected,bounded_risk_bound,bounded_coverage_lcb,gain
cifar100_proser_fedavg__split00__seed3__d0.5,cifar100,d0.5,0.2,5,187|220|187|214|192,0,,,0.0,0,,,0.0,0
cifar100_proser_fedavg__split00__seed3__d0.5,cifar100,d0.5,0.25,5,187|220|187|214|192,0,,,0.0,0,,,0.0,0
cifar100_proser_fedavg__split00__seed3__d0.5,cifar100,d0.5,0.3,5,187|220|187|214|192,1,8,0.2858135898026206,0.08226388471076322,1,8,0.29106848808685204,0.09686711799013696,0
cifar100_proser_fedavg__split00__seed3__d5.0,cifar100,d5,0.05,5,203|193|195|213|196,0,,,0.0,0,,,0.0,0
cifar100_proser_fedavg__split00__seed3__d5.0,cifar100,d5,0.1,5,203|193|195|213|196,0,,,0.0,0,,,0.0,0
cifar100_proser_fedavg__split00__seed3__d5.0,cifar100,d5,0.15,5,203|193|195|213|196,0,,,0.0,0,,,0.0,0
cifar100_proser_fedavg__split00__seed3__d5.0,cifar100,d5,0.2,5,203|193|195|213|196,0,,,0.0,0,,,0.0,0
cifar100_proser_fedavg__split00__seed3__d5.0,cifar100,d5,0.25,5,203|193|195|213|196,0,,,0.0,0,,,0.0,0
cifar100_proser_fedavg__split00__seed3__d5.0,cifar100,d5,0.3,5,203|193|195|213|196,1,0,0.29846180669299294,0.061021268059513314,1,0,0.2737365863863858,0.08557918504925921,0
cifar100_proser_fedavg__split00__seed4__d0.1,cifar100,d0.1,0.05,5,207|211|181|214|187,0,,,0.0,0,,,0.0,0
cifar100_proser_fedavg__split00__seed4__d0.1,cifar100,d0.1,0.1,5,207|211|181|214|187,0,,,0.0,0,,,0.0,0
cifar100_proser_fedavg__split00__seed4__d0.1,cifar100,d0.1,0.15,5,207|211|181|214|187,0,,,0.0,0,,,0.0,0
cifar100_proser_fedavg__split00__seed4__d0.1,cifar100,d0.1,0.2,5,207|211|181|214|187,0,,,0.0,0,,,0.0,0
cifar100_proser_fedavg__split00__seed4__d0.1,cifar100,d0.1,0.25,5,207|211|181|214|187,0,,,0.0,0,,,0.0,0
cifar100_proser_fedavg__split00__seed4__d0.1,cifar100,d0.1,0.3,5,207|211|181|214|187,0,,,0.0,0,,,0.0,0
cifar100_proser_fedavg__split00__seed4__d0.5,cifar100,d0.5,0.05,5,178|222|201|199|200,0,,,0.0,0,,,0.0,0
cifar100_proser_fedavg__split00__seed4__d0.5,cifar100,d0.5,0.1,5,178|222|201|199|200,0,,,0.0,0,,,0.0,0
cifar100_proser_fedavg__split00__seed4__d0.5,cifar100,d0.5,0.15,5,178|222|201|199|200,0,,,0.0,0,,,0.0,0
cifar100_proser_fedavg__split00__seed4__d0.5,cifar100,d0.5,0.2,5,178|222|201|199|200,0,,,0.0,0,,,0.0,0
cifar100_proser_fedavg__split00__seed4__d0.5,cifar100,d0.5,0.25,5,178|222|201|199|200,0,,,0.0,0,,,0.0,0
cifar100_proser_fedavg__split00__seed4__d0.5,cifar100,d0.5,0.3,5,178|222|201|199|200,0,,,0.0,1,8,0.2940575057507192,0.05900784897133475,1
cifar100_proser_fedavg__split00__seed4__d5.0,cifar100,d5,0.05,5,194|205|194|200|207,0,,,0.0,0,,,0.0,0
cifar100_proser_fedavg__split00__seed4__d5.0,cifar100,d5,0.1,5,194|205|194|200|207,0,,,0.0,0,,,0.0,0
cifar100_proser_fedavg__split00__seed4__d5.0,cifar100,d5,0.15,5,194|205|194|200|207,0,,,0.0,0,,,0.0,0
cifar100_proser_fedavg__split00__seed4__d5.0,cifar100,d5,0.2,5,194|205|194|200|207,0,,,0.0,0,,,0.0,0
cifar100_proser_fedavg__split00__seed4__d5.0,cifar100,d5,0.25,5,194|205|194|200|207,0,,,0.0,0,,,0.0,0
cifar100_proser_fedavg__split00__seed4__d5.0,cifar100,d5,0.3,5,194|205|194|200|207,0,,,0.0,0,,,0.0,0
cifar100_proser_fedavg__split01__seed0__d0.1,cifar100,d0.1,0.05,5,207|181|185|217|210,0,,,0.0,0,,,0.0,0
cifar100_proser_fedavg__split01__seed0__d0.1,cifar100,d0.1,0.1,5,207|181|185|217|210,0,,,0.0,0,,,0.0,0
cifar100_proser_fedavg__split01__seed0__d0.1,cifar100,d0.1,0.15,5,207|181|185|217|210,0,,,0.0,0,,,0.0,0
cifar100_proser_fedavg__split01__seed0__d0.1,cifar100,d0.1,0.2,5,207|181|185|217|210,0,,,0.0,0,,,0.0,0
cifar100_proser_fedavg__split01__seed0__d0.1,cifar100,d0.1,0.25,5,207|181|185|217|210,0,,,0.0,0,,,0.0,0
cifar100_proser_fedavg__split01__seed0__d0.1,cifar100,d0.1,0.3,5,207|181|185|217|210,0,,,0.0,0,,,0.0,0
cifar100_proser_fedavg__split01__seed0__d0.5,cifar100,d0.5,0.05,5,199|221|190|195|195,0,,,0.0,0,,,0.0,0
cifar100_proser_fedavg__split01__seed0__d0.5,cifar100,d0.5,0.1,5,199|221|190|195|195,0,,,0.0,0,,,0.0,0
cifar100_proser_fedavg__split01__seed0__d0.5,cifar100,d0.5,0.15,5,199|221|190|195|195,0,,,0.0,0,,,0.0,0
cifar100_proser_fedavg__split01__seed0__d0.5,cifar100,d0.5,0.2,5,199|221|190|195|195,0,,,0.0,0,,,0.0,0
cifar100_proser_fedavg__split01__seed0__d0.5,cifar100,d0.5,0.25,5,199|221|190|195|195,1,8,0.23905712862960837,0.1074685537775654,1,8,0.22122193276324453,0.10464611072578325,0
cifar100_proser_fedavg__split01__seed0__d0.5,cifar100,d0.5,0.3,5,199|221|190|195|195,1,9,0.28645450464814437,0.175378773010934,1,9,0.28453148384742644,0.17183201480393562,0
cifar100_proser_fedavg__split01__seed0__d5.0,cifar100,d5,0.05,5,205|205|205|205|180,0,,,0.0,0,,,0.0,0
cifar100_proser_fedavg__split01__seed0__d5.0,cifar100,d5,0.1,5,205|205|205|205|180,0,,,0.0,0,,,0.0,0
cifar100_proser_fedavg__split01__seed0__d5.0,cifar100,d5,0.15,5,205|205|205|205|180,0,,,0.0,0,,,0.0,0
cifar100_proser_fedavg__split01__seed0__d5.0,cifar100,d5,0.2,5,205|205|205|205|180,0,,,0.0,0,,,0.0,0
cifar100_proser_fedavg__split01__seed0__d5.0,cifar100,d5,0.25,5,205|205|205|205|180,0,,,0.0,1,1,0.24440809006729922,0.15587259273099557,1
cifar100_proser_fedavg__split01__seed0__d5.0,cifar100,d5,0.3,5,205|205|205|205|180,1,1,0.2780290421614293,0.19500134841768255,1,1,0.26940553008916657,0.191111091263806,0
cifar100_proser_fedavg__split01__seed1__d0.1,cifar100,d0.1,0.05,5,200|192|193|217|198,0,,,0.0,0,,,0.0,0
cifar100_proser_fedavg__split01__seed1__d0.1,cifar100,d0.1,0.1,5,200|192|193|217|198,0,,,0.0,0,,,0.0,0
cifar100_proser_fedavg__split01__seed1__d0.1,cifar100,d0.1,0.15,5,200|192|193|217|198,0,,,0.0,0,,,0.0,0
cifar100_proser_fedavg__split01__seed1__d0.1,cifar100,d0.1,0.2,5,200|192|193|217|198,0,,,0.0,0,,,0.0,0
cifar100_proser_fedavg__split01__seed1__d0.1,cifar100,d0.1,0.25,5,200|192|193|217|198,0,,,0.0,0,,,0.0,0
cifar100_proser_fedavg__split01__seed1__d0.1,cifar100,d0.1,0.3,5,200|192|193|217|198,0,,,0.0,1,0,0.2807990141856086,0.0416901689424854,1
