semantic_id,dataset,condition,d,arm,method,validity_status,alpha,delta_r,delta_c,J,selector_score,selector_gamma,selector_threshold,selector_proposal_feasible,selector_prop_coverage,selector_prop_risk,true_worst_client_risk,true_min_client_coverage,simulation_seed,B,ucb_coverage_count,empirical_ucb_coverage,certified_count,cert_rate,unsafe_certified_count,unsafe_cert_rate,unsafe_given_cert_rate,EffectiveCertCov,CondCertCov,effective_true_min_coverage,mean_ucb,ucb_q05,ucb_q50,ucb_q95
cifar10_proser_fedavg__split04__seed3__d5.0,cifar10,d5,5.0,proser_fedavg,fedcore_noJ,valid full-simplex fixed-selector CP,0.2,0.05,0.05,5,energy,1.0,3.4848036845790893,1,0.6352769679300292,0.19963285910968334,0.2123076923076923,0.6245136186770428,2093789920,1000,1000,1.0,0,0.0,0,0.0,,0.0,,0.0,0.2727982513807733,0.2471135323610177,0.27168488331942087,0.3042977719640108
cifar10_proser_fedavg__split04__seed3__d5.0,cifar10,d5,5.0,proser_fedavg,bonferroni_delta_over_J,valid simultaneous per-client CP,0.2,0.05,0.05,5,energy,1.0,3.4848036845790893,1,0.6352769679300292,0.19963285910968334,0.2123076923076923,0.6245136186770428,2093789920,1000,1000,1.0,0,0.0,0,0.0,,0.0,,0.0,0.2900794711305823,0.26375599999592647,0.28889716621819006,0.3219864788627473
cifar10_proser_fedavg__split04__seed3__d5.0,cifar10,d5,5.0,proser_fedavg,pooled_CP_intentionally_invalid,invalid for worst-client target,0.2,0.05,0.05,5,energy,1.0,3.4848036845790893,1,0.6352769679300292,0.19963285910968334,0.2123076923076923,0.6245136186770428,2093789920,1000,771,0.771,21,0.021,21,0.021,1.0,0.013016005424511161,0.6198097821195792,0.0131147859922179,0.22010385441856653,0.202959505898736,0.21982624961754346,0.23813345728635946
cifar10_proser_fedavg__split04__seed4__d0.1,cifar10,d0.1,0.1,proser_fedavg,fedcore_noJ,valid full-simplex fixed-selector CP,0.2,0.05,0.05,5,margin,1.0,0.997151361859363,1,0.1306122448979592,0.19866071428571427,0.26515151515151514,0.12354085603112841,1949118894,1000,1000,1.0,0,0.0,0,0.0,,0.0,,0.0,0.3913721584081378,0.3262299485812639,0.38776992102297275,0.4690352087881943
cifar10_proser_fedavg__split04__seed4__d0.1,cifar10,d0.1,0.1,proser_fedavg,bonferroni_delta_over_J,valid simultaneous per-client CP,0.2,0.05,0.05,5,margin,1.0,0.997151361859363,1,0.1306122448979592,0.19866071428571427,0.26515151515151514,0.12354085603112841,1949118894,1000,1000,1.0,0,0.0,0,0.0,,0.0,,0.0,0.4329819627916478,0.36590960731571753,0.42857234456650434,0.5138424179592747
cifar10_proser_fedavg__split04__seed4__d0.1,cifar10,d0.1,0.1,proser_fedavg,pooled_CP_intentionally_invalid,invalid for worst-client target,0.2,0.05,0.05,5,margin,1.0,0.997151361859363,1,0.1306122448979592,0.19866071428571427,0.26515151515151514,0.12354085603112841,1949118894,1000,214,0.214,21,0.021,21,0.021,1.0,0.0026377393342141777,0.12560663496257987,0.0025943579766536965,0.24823615035061658,0.21302713024955852,0.24804686944771878,0.2859556634794853
cifar10_proser_fedavg__split04__seed4__d0.5,cifar10,d0.5,0.5,proser_fedavg,fedcore_noJ,valid full-simplex fixed-selector CP,0.2,0.05,0.05,5,energy,1.0,3.505188928399995,1,0.36793002915451894,0.19968304278922344,0.22020725388601037,0.33949416342412453,1082482561,1000,1000,1.0,0,0.0,0,0.0,,0.0,,0.0,0.2949209191649801,0.26015625521600033,0.292996155707905,0.33572848476673056
cifar10_proser_fedavg__split04__seed4__d0.5,cifar10,d0.5,0.5,proser_fedavg,bonferroni_delta_over_J,valid simultaneous per-client CP,0.2,0.05,0.05,5,energy,1.0,3.505188928399995,1,0.36793002915451894,0.19968304278922344,0.22020725388601037,0.33949416342412453,1082482561,1000,1000,1.0,0,0.0,0,0.0,,0.0,,0.0,0.31838714436233917,0.28307915909635734,0.31647641114906927,0.35992491376736147
cifar10_proser_fedavg__split04__seed4__d0.5,cifar10,d0.5,0.5,proser_fedavg,pooled_CP_intentionally_invalid,invalid for worst-client target,0.2,0.05,0.05,5,energy,1.0,3.505188928399995,1,0.36793002915451894,0.19968304278922344,0.22020725388601037,0.33949416342412453,1082482561,1000,514,0.514,54,0.054,54,0.054,1.0,0.019273117953559647,0.3569095917325862,0.018332684824902724,0.22055525020368486,0.1994837147204779,0.22073559122184963,0.24096820393582138
cifar10_proser_fedavg__split04__seed4__d5.0,cifar10,d5,5.0,proser_fedavg,fedcore_noJ,valid full-simplex fixed-selector CP,0.2,0.05,0.05,5,energy,1.0,4.0357121129498434,1,0.5819241982507288,0.1998997995991984,0.20938023450586266,0.5603112840466926,820587263,1000,1000,1.0,0,0.0,0,0.0,,0.0,,0.0,0.26626837434705103,0.2388125833457636,0.2649985535891549,0.2980646367145437
cifar10_proser_fedavg__split04__seed4__d5.0,cifar10,d5,5.0,proser_fedavg,bonferroni_delta_over_J,valid simultaneous per-client CP,0.2,0.05,0.05,5,energy,1.0,4.0357121129498434,1,0.5819241982507288,0.1998997995991984,0.20938023450586266,0.5603112840466926,820587263,1000,1000,1.0,0,0.0,0,0.0,,0.0,,0.0,0.2841738875282864,0.25595223642718345,0.28272627790176363,0.3165007724330867
cifar10_proser_fedavg__split04__seed4__d5.0,cifar10,d5,5.0,proser_fedavg,pooled_CP_intentionally_invalid,invalid for worst-client target,0.2,0.05,0.05,5,energy,1.0,4.0357121129498434,1,0.5819241982507288,0.1998997995991984,0.20938023450586266,0.5603112840466926,820587263,1000,485,0.485,195,0.195,195,0.195,1.0,0.11054865743518434,0.5669161919753043,0.10926070038910507,0.2089559833503862,0.19245767185822868,0.20867803551150424,0.22637418310764681
