semantic_id,dataset,condition,d,arm,client,cert_raw_n,cert_unique_n,test_raw_n,test_unique_n,cert_test_unique_overlap,combined_raw_n,reservoir_unique_n,combined_duplication_rate,unique_accepted_n,unique_accepted_error_n,true_acceptance,true_risk,audit_draw_n
cifar100_proser_fedavg__split00__seed3__d0.1,cifar100,d0.1,0.1,proser_fedavg,1,514,514,514,514,0,1028,1028,0.0,207,39,0.20136186770428016,0.18840579710144928,514
cifar100_proser_fedavg__split00__seed3__d0.1,cifar100,d0.1,0.1,proser_fedavg,2,514,514,514,514,0,1028,1028,0.0,172,35,0.16731517509727625,0.20348837209302326,514
cifar100_proser_fedavg__split00__seed3__d0.1,cifar100,d0.1,0.1,proser_fedavg,3,514,514,514,514,0,1028,1028,0.0,175,38,0.17023346303501946,0.21714285714285714,514
cifar100_proser_fedavg__split00__seed3__d0.1,cifar100,d0.1,0.1,proser_fedavg,4,514,514,514,514,0,1028,1028,0.0,196,40,0.19066147859922178,0.20408163265306123,514
cifar100_proser_fedavg__split00__seed3__d0.5,cifar100,d0.5,0.5,proser_fedavg,0,514,514,514,514,0,1028,1028,0.0,286,67,0.2782101167315175,0.23426573426573427,514
cifar100_proser_fedavg__split00__seed3__d0.5,cifar100,d0.5,0.5,proser_fedavg,1,514,514,514,514,0,1028,1028,0.0,323,83,0.3142023346303502,0.25696594427244585,514
cifar100_proser_fedavg__split00__seed3__d0.5,cifar100,d0.5,0.5,proser_fedavg,2,514,514,514,514,0,1028,1028,0.0,300,70,0.2918287937743191,0.23333333333333334,514
cifar100_proser_fedavg__split00__seed3__d0.5,cifar100,d0.5,0.5,proser_fedavg,3,514,514,514,514,0,1028,1028,0.0,270,57,0.26264591439688717,0.2111111111111111,514
cifar100_proser_fedavg__split00__seed3__d0.5,cifar100,d0.5,0.5,proser_fedavg,4,514,514,514,514,0,1028,1028,0.0,285,69,0.2772373540856031,0.24210526315789474,514
cifar100_proser_fedavg__split00__seed3__d5.0,cifar100,d5,5.0,proser_fedavg,0,514,514,514,514,0,1028,1028,0.0,315,63,0.30642023346303504,0.2,514
cifar100_proser_fedavg__split00__seed3__d5.0,cifar100,d5,5.0,proser_fedavg,1,514,514,514,514,0,1028,1028,0.0,363,90,0.3531128404669261,0.24793388429752067,514
cifar100_proser_fedavg__split00__seed3__d5.0,cifar100,d5,5.0,proser_fedavg,2,514,514,514,514,0,1028,1028,0.0,335,71,0.32587548638132297,0.21194029850746268,514
cifar100_proser_fedavg__split00__seed3__d5.0,cifar100,d5,5.0,proser_fedavg,3,514,514,514,514,0,1028,1028,0.0,324,72,0.3151750972762646,0.2222222222222222,514
cifar100_proser_fedavg__split00__seed3__d5.0,cifar100,d5,5.0,proser_fedavg,4,514,514,514,514,0,1028,1028,0.0,308,68,0.29961089494163423,0.22077922077922077,514
cifar100_proser_fedavg__split00__seed4__d0.1,cifar100,d0.1,0.1,proser_fedavg,0,514,514,514,514,0,1028,1028,0.0,87,19,0.08463035019455253,0.21839080459770116,514
cifar100_proser_fedavg__split00__seed4__d0.1,cifar100,d0.1,0.1,proser_fedavg,1,514,514,514,514,0,1028,1028,0.0,100,20,0.09727626459143969,0.2,514
cifar100_proser_fedavg__split00__seed4__d0.1,cifar100,d0.1,0.1,proser_fedavg,2,514,514,514,514,0,1028,1028,0.0,94,20,0.0914396887159533,0.2127659574468085,514
cifar100_proser_fedavg__split00__seed4__d0.1,cifar100,d0.1,0.1,proser_fedavg,3,514,514,514,514,0,1028,1028,0.0,81,14,0.07879377431906615,0.1728395061728395,514
cifar100_proser_fedavg__split00__seed4__d0.1,cifar100,d0.1,0.1,proser_fedavg,4,514,514,514,514,0,1028,1028,0.0,102,19,0.09922178988326848,0.18627450980392157,514
cifar100_proser_fedavg__split00__seed4__d0.5,cifar100,d0.5,0.5,proser_fedavg,0,514,514,514,514,0,1028,1028,0.0,274,56,0.26653696498054474,0.20437956204379562,514
cifar100_proser_fedavg__split00__seed4__d0.5,cifar100,d0.5,0.5,proser_fedavg,1,514,514,514,514,0,1028,1028,0.0,281,49,0.2733463035019455,0.17437722419928825,514
cifar100_proser_fedavg__split00__seed4__d0.5,cifar100,d0.5,0.5,proser_fedavg,2,514,514,514,514,0,1028,1028,0.0,271,65,0.26361867704280156,0.23985239852398524,514
cifar100_proser_fedavg__split00__seed4__d0.5,cifar100,d0.5,0.5,proser_fedavg,3,514,514,514,514,0,1028,1028,0.0,269,51,0.2616731517509728,0.1895910780669145,514
cifar100_proser_fedavg__split00__seed4__d0.5,cifar100,d0.5,0.5,proser_fedavg,4,514,514,514,514,0,1028,1028,0.0,273,60,0.26556420233463035,0.21978021978021978,514
cifar100_proser_fedavg__split00__seed4__d5.0,cifar100,d5,5.0,proser_fedavg,0,514,514,514,514,0,1028,1028,0.0,281,67,0.2733463035019455,0.23843416370106763,514
cifar100_proser_fedavg__split00__seed4__d5.0,cifar100,d5,5.0,proser_fedavg,1,514,514,514,514,0,1028,1028,0.0,305,51,0.29669260700389105,0.16721311475409836,514
cifar100_proser_fedavg__split00__seed4__d5.0,cifar100,d5,5.0,proser_fedavg,2,514,514,514,514,0,1028,1028,0.0,257,48,0.25,0.1867704280155642,514
cifar100_proser_fedavg__split00__seed4__d5.0,cifar100,d5,5.0,proser_fedavg,3,514,514,514,514,0,1028,1028,0.0,292,50,0.2840466926070039,0.17123287671232876,514
cifar100_proser_fedavg__split00__seed4__d5.0,cifar100,d5,5.0,proser_fedavg,4,514,514,514,514,0,1028,1028,0.0,270,56,0.26264591439688717,0.2074074074074074,514
