semantic_id,dataset,condition,split,repetition,S_minus_B,H_minus_S,H_minus_B
cifar10_proser_fedavg__split02__seed2__d0.5,cifar10,d0.5,2,2,0.10909272963771796,0.0,0.10909272963771796
cifar10_proser_fedavg__split02__seed2__d5.0,cifar10,d5,2,2,0.12917518978890571,0.0,0.12917518978890571
cifar10_proser_fedavg__split02__seed3__d0.1,cifar10,d0.1,2,3,0.0,0.0,0.0
cifar10_proser_fedavg__split02__seed3__d0.5,cifar10,d0.5,2,3,0.005373050088283149,0.0,0.005373050088283149
cifar10_proser_fedavg__split02__seed3__d5.0,cifar10,d5,2,3,0.11495844541806176,0.0,0.11495844541806176
cifar10_proser_fedavg__split02__seed4__d0.1,cifar10,d0.1,2,4,0.0,0.0,0.0
cifar10_proser_fedavg__split02__seed4__d0.5,cifar10,d0.5,2,4,0.0,0.0,0.0
cifar10_proser_fedavg__split02__seed4__d5.0,cifar10,d5,2,4,0.009678555400372046,0.0,0.009678555400372046
cifar10_proser_fedavg__split03__seed0__d0.1,cifar10,d0.1,3,0,0.0,0.0,0.0
cifar10_proser_fedavg__split03__seed0__d0.5,cifar10,d0.5,3,0,0.0,0.0,0.0
cifar10_proser_fedavg__split03__seed0__d5.0,cifar10,d5,3,0,0.009488023381153232,0.09301908606279058,0.10250710944394381
cifar10_proser_fedavg__split03__seed1__d0.1,cifar10,d0.1,3,1,0.0,0.0,0.0
cifar10_proser_fedavg__split03__seed1__d0.5,cifar10,d0.5,3,1,0.009724175779862454,0.011091595520451358,0.020815771300313812
cifar10_proser_fedavg__split03__seed1__d5.0,cifar10,d5,3,1,0.11169253517521108,0.0,0.11169253517521108
cifar10_proser_fedavg__split03__seed2__d0.1,cifar10,d0.1,3,2,0.0,0.0,0.0
cifar10_proser_fedavg__split03__seed2__d0.5,cifar10,d0.5,3,2,0.010415936791709435,0.0,0.010415936791709435
cifar10_proser_fedavg__split03__seed2__d5.0,cifar10,d5,3,2,0.009122319519141858,0.0,0.009122319519141858
cifar10_proser_fedavg__split03__seed3__d0.1,cifar10,d0.1,3,3,0.0,0.0,0.0
cifar10_proser_fedavg__split03__seed3__d0.5,cifar10,d0.5,3,3,0.17183034880148174,0.0,0.17183034880148174
cifar10_proser_fedavg__split03__seed3__d5.0,cifar10,d5,3,3,0.008489940159110976,0.0,0.008489940159110976
cifar10_proser_fedavg__split03__seed4__d0.1,cifar10,d0.1,3,4,0.0,0.0,0.0
cifar10_proser_fedavg__split03__seed4__d0.5,cifar10,d0.5,3,4,0.012701531569258129,0.0,0.012701531569258129
cifar10_proser_fedavg__split03__seed4__d5.0,cifar10,d5,3,4,0.010175224224839963,0.0,0.010175224224839963
cifar10_proser_fedavg__split04__seed0__d0.1,cifar10,d0.1,4,0,0.0,0.0,0.0
cifar10_proser_fedavg__split04__seed0__d0.5,cifar10,d0.5,4,0,0.0,0.0,0.0
cifar10_proser_fedavg__split04__seed0__d5.0,cifar10,d5,4,0,0.009769005771264994,0.0,0.009769005771264994
cifar10_proser_fedavg__split04__seed1__d0.1,cifar10,d0.1,4,1,0.0,0.0,0.0
cifar10_proser_fedavg__split04__seed1__d0.5,cifar10,d0.5,4,1,0.06586382397031201,0.0,0.06586382397031201
cifar10_proser_fedavg__split04__seed1__d5.0,cifar10,d5,4,1,0.11952009733785399,0.0,0.11952009733785399
cifar10_proser_fedavg__split04__seed2__d0.1,cifar10,d0.1,4,2,0.0,0.0,0.0
cifar10_proser_fedavg__split04__seed2__d0.5,cifar10,d0.5,4,2,0.0,0.0,0.0
cifar10_proser_fedavg__split04__seed2__d5.0,cifar10,d5,4,2,0.00979112652541031,0.0,0.00979112652541031
cifar10_proser_fedavg__split04__seed3__d0.1,cifar10,d0.1,4,3,0.0,0.0,0.0
cifar10_proser_fedavg__split04__seed3__d0.5,cifar10,d0.5,4,3,0.0,0.0,0.0
cifar10_proser_fedavg__split04__seed3__d5.0,cifar10,d5,4,3,0.05347133106120225,0.0,0.05347133106120225
cifar10_proser_fedavg__split04__seed4__d0.1,cifar10,d0.1,4,4,0.0,0.0,0.0
cifar10_proser_fedavg__split04__seed4__d0.5,cifar10,d0.5,4,4,0.006111370325869087,0.0,0.006111370325869087
cifar10_proser_fedavg__split04__seed4__d5.0,cifar10,d5,4,4,0.009038360050728167,0.0,0.009038360050728167
cifar10_proser_fedavg__split05__seed0__d0.1,cifar10,d0.1,5,0,0.0,0.0,0.0
cifar10_proser_fedavg__split05__seed0__d0.5,cifar10,d0.5,5,0,0.0,0.0,0.0
cifar10_proser_fedavg__split05__seed0__d5.0,cifar10,d5,5,0,0.010431803169533183,0.05304640580604719,0.06347820897558037
cifar10_proser_fedavg__split05__seed1__d0.1,cifar10,d0.1,5,1,0.0,0.0,0.0
cifar10_proser_fedavg__split05__seed1__d0.5,cifar10,d0.5,5,1,0.009877667201711349,0.0,0.009877667201711349
cifar10_proser_fedavg__split05__seed1__d5.0,cifar10,d5,5,1,0.010580927881557789,0.0,0.010580927881557789
cifar10_proser_fedavg__split05__seed2__d0.1,cifar10,d0.1,5,2,0.0,0.0,0.0
cifar10_proser_fedavg__split05__seed2__d0.5,cifar10,d0.5,5,2,0.010594894426060375,0.0,0.010594894426060375
cifar10_proser_fedavg__split05__seed2__d5.0,cifar10,d5,5,2,0.07385040114994096,0.0,0.07385040114994096
